2019/09/12,23.5
2019/09/13,23.0
2019/09/14,24.5
2019/09/15,27.5
2019/09/16,19.0
2019/09/17,21.0
2019/09/18,18.0
2019/09/19,17.5
2019/09/20,19.5
2019/09/21,24.0
2019/09/22,23.5
2019/09/23,17.5
2019/09/24,18.0
2019/09/25,15.5
2019/09/26,17.0
2019/09/27,16.5
2019/09/28,18.0
2019/09/29,19.5
2019/09/30,18.0
2019/10/01,19.0
2019/10/02,14.0
2019/10/03,14.5
2019/10/04,13.0
2019/10/05,14.5
2019/10/06,14.0
2019/10/07,14.5
2019/10/08,14.0
2019/10/09,13.0
2019/10/10,15.0
2019/10/11,18.5
2019/10/12,20.0
2019/10/13,23.0
2019/10/14,23.0
2019/10/15,17.5
2019/10/16,16.5
2019/10/17,14.5
2019/10/18,15.5
2019/10/19,13.5
2019/10/20,17.0
2019/10/21,14.0
2019/10/22,16.0
2019/10/23,18.5
2019/10/24,18.0
2019/10/25,16.5
2019/10/26,18.5
2019/10/27,16.5
2019/10/28,10.0
2019/10/29,9.0
2019/10/30,10.0
2019/10/31,10.5
2019/11/01,12.0
2019/11/02,15.5
2019/11/03,12.5
2019/11/04,13.0
2019/11/05,11.0
2019/11/06,9.0
2019/11/07,9.0
2019/11/08,8.5
2019/11/09,8.0
2019/11/10,7.5
2019/11/11,7.0
2019/11/12,6.0
2019/11/13,6.0
2019/11/14,6.5
2019/11/15,7.0
2019/11/16,7.0
2019/11/17,6.0
2019/11/18,4.0
2019/11/19,5.5
2019/11/20,6.0
2019/11/21,6.5
2019/11/22,8.0
2019/11/23,7.5
2019/11/24,9.0
2019/11/25,9.5
2019/11/26,10.5
2019/11/27,11.0
2019/11/28,11.0
2019/11/29,9.0
2019/11/30,6.5
2019/12/01,3.5
2019/12/02,4.0
2019/12/03,5.0
2019/12/04,4.5
2019/12/05,5.0
2019/12/06,4.5
2019/12/07,8.0
2019/12/08,10.0
2019/12/09,7.5
2019/12/10,5.0
2019/12/11,4.5
2019/12/12,4.0
2019/12/13,5.5
2019/12/14,8.5
2019/12/15,10.5
2019/12/16,11.0
2019/12/17,11.5
2019/12/18,10.0
2019/12/19,10.5
2019/12/20,9.0
2019/12/21,7.5
2019/12/22,8.0
2019/12/23,8.0
2019/12/24,10.0
2019/12/25,8.5
2019/12/26,4.5
2019/12/27,7.0
2019/12/28,3.5
2019/12/29,3.0
2019/12/30,4.5
2019/12/31,5.5
